ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Cluster
1966,1965,4,3,84618.0,0,0,473,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,2
6864,1989,3,2,10979.0,0,0,462,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,0
3033,1963,3,5,38620.0,0,0,226,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0
5710,1970,2,5,40548.0,0,1,212,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,0
7373,1952,4,2,46610.0,0,2,623,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,1
8755,1946,3,3,68657.0,0,0,413,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,3
10738,1951,3,4,49389.0,1,1,621,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,0
4339,1970,4,3,67353.0,0,1,661,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,1
10755,1976,0,3,23718.0,1,0,38,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,0
8595,1973,2,6,42429.0,0,1,221,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,0
2968,1943,4,2,48948.0,0,0,2,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,3
8601,1980,2,3,80011.0,0,1,613,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,3
503,1985,3,3,20559.0,1,0,244,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,0
8430,1957,2,5,21994.0,0,1,518,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,0
2139,1975,3,3,7500.0,1,0,40,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,0
1371,1976,2,4,79941.0,0,0,597,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,3
9909,1996,0,3,7500.0,0,0,192,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,0
7286,1968,2,5,41728.0,1,0,506,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,0
6566,1954,4,3,72550.0,1,1,169,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,1
8614,1957,2,6,65486.0,0,1,249,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,1
4114,1964,3,3,79143.0,0,0,231,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,3
1331,1977,2,4,35790.0,1,0,22,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0
2225,1977,2,2,82582.0,0,0,142,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,3
9381,1978,2,3,66373.0,1,1,250,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,1
6260,1955,3,5,82384.0,0,0,408,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,2
10383,1966,2,2,70287.0,0,0,28,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,3
7437,1988,2,4,27938.0,1,0,593,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,0
8375,1968,4,3,55954.0,0,1,50,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,1
6853,1982,3,4,75777.0,0,0,77,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,2
3076,1975,2,5,66653.0,1,1,146,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,1
1012,1952,2,4,61823.0,0,1,368,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,1
6518,1951,4,6,67680.0,0,1,228,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,1
4137,1948,2,5,70666.0,0,0,131,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,3
8082,1971,2,3,25721.0,1,0,439,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,0
1386,1967,2,5,32474.0,1,1,227,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0
9369,1979,0,4,88194.0,0,1,394,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,3
4477,1958,2,5,69096.0,0,1,580,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,1
1357,1970,2,5,74854.0,1,2,158,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,1
1402,1954,3,3,66991.0,0,0,233,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,3
6312,1959,2,3,65031.0,0,1,348,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,1
8132,1975,4,3,60631.0,1,1,93,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,1
1050,1952,2,3,28332.0,0,0,633,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,0
5846,1977,2,2,40246.0,1,0,410,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,0
1859,1972,3,3,75251.0,0,0,577,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,3
7503,1976,2,4,75825.0,0,0,257,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,3
10401,1976,0,5,26326.0,0,0,81,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,0
1618,1965,2,5,56046.0,0,0,22,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,1
3332,1985,2,4,29760.0,1,0,620,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,0
2261,1969,2,3,26304.0,1,0,486,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0
5346,1973,0,3,23559.0,1,0,57,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,0
4119,1963,3,5,38620.0,0,0,226,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0
535,1987,2,2,81361.0,0,0,523,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,3
5268,1960,2,3,29440.0,1,1,232,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,0
273,1970,3,3,36138.0,1,1,335,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,0
4452,1957,2,4,50388.0,0,1,595,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,1
8504,1973,2,3,79593.0,0,0,249,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,2
771,1967,2,5,54178.0,0,1,433,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,0
11178,1972,3,4,42394.0,1,0,481,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,0
2230,1970,4,3,23626.0,1,0,507,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,0
7516,1983,2,3,30096.0,1,0,462,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,0
7247,1960,2,6,47916.0,0,1,472,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,1
11100,1972,2,2,51813.0,1,1,224,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0
4646,1951,0,3,78497.0,0,0,21,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,3
3037,1983,4,3,50150.0,0,0,419,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,1
1473,1960,0,4,47823.0,0,1,488,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,0
1016,1959,4,4,34554.0,0,1,631,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,0
4518,1979,2,5,85693.0,0,1,416,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,3
9370,1945,4,3,65846.0,0,0,352,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,3
8908,1959,2,3,87195.0,0,0,161,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,3
8373,1979,1,5,24594.0,1,0,217,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,0
7533,1964,2,3,49096.0,1,1,514,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,0
2683,1969,2,3,52413.0,0,2,24,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,1
3629,1978,2,4,38557.0,1,0,410,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,0
10991,1960,3,3,89058.0,0,0,151,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,3
5077,1979,2,5,77298.0,0,1,42,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,3
7431,1991,4,4,68126.0,0,0,214,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,1
3267,1963,3,5,57288.0,0,1,531,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,1
999,1991,2,4,86037.0,0,0,22,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,2
9215,1980,4,3,43974.0,1,0,261,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,1
2286,1962,2,4,50785.0,1,1,211,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,0
1592,1970,2,3,90765.0,0,0,500,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,2
367,1978,0,3,36550.0,1,0,391,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,1
5234,1967,0,5,30753.0,1,1,230,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,0
9862,1969,2,5,21918.0,1,0,301,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,0
9805,1953,3,5,56129.0,0,1,419,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,1
6205,1967,3,4,32557.0,1,0,501,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,0
8442,1985,3,3,19510.0,2,0,81,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,0
7386,1976,2,2,30992.0,1,0,459,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,0
7215,1983,2,4,101970.0,0,0,244,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,2
1491,1965,0,5,71488.0,0,0,368,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,3
11071,1984,2,4,79607.0,0,0,437,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,3
3381,1953,3,3,54348.0,1,1,163,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,0
11051,1956,4,5,77376.0,1,1,205,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,1
8026,1952,2,3,62998.0,0,1,642,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,1
433,1958,3,1,61331.0,1,1,200,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,1
9597,1969,2,3,73448.0,0,0,199,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,3
5290,1964,4,3,41551.0,1,1,295,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,1
1685,1967,4,5,62981.0,0,0,348,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,3
5342,1976,1,2,9548.0,1,0,165,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,0
9579,1959,4,3,33762.0,2,1,143,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,0
7660,1973,4,1,35860.0,1,1,398,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,0
1461,1965,4,2,36921.0,1,1,598,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0
821,1992,3,4,92859.0,0,0,406,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,3
11084,1976,3,5,65104.0,0,1,301,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,1
8690,1962,2,3,86111.0,0,0,395,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,3
2937,1974,4,4,68352.0,0,1,600,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,1
9701,1988,2,5,41883.0,1,0,393,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,0
9949,1976,2,3,59809.0,0,2,383,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,1
10837,1975,2,3,23957.0,1,0,603,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,0
3120,1981,2,5,38547.0,1,0,600,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,0
5885,1973,0,3,35688.0,2,1,466,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,0
4050,1966,3,3,49605.0,0,0,441,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,0
3830,1953,3,3,59354.0,0,2,505,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,1
7987,1969,2,3,65747.0,0,1,137,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,1
7798,1972,0,5,46344.0,0,1,302,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,1
92,1988,2,1,34176.0,1,0,249,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,0
7055,1952,4,5,61010.0,0,1,190,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,1
10240,1949,2,5,69372.0,0,0,391,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,2
3025,1958,2,4,49967.0,0,1,164,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,1
9283,1978,2,4,60199.0,1,2,256,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,0
9970,1977,2,5,55375.0,0,1,362,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,0
2730,1955,2,4,80317.0,0,0,423,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,3
2795,1958,3,4,30523.0,2,1,11,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0
9260,1945,4,3,70356.0,0,0,105,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,1
8182,1984,2,3,23228.0,1,0,89,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,0
10095,1975,4,2,74165.0,0,0,8,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,1
8475,1973,4,3,157243.0,0,1,5,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,3
4370,1966,2,5,43482.0,2,1,281,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,0
10573,1953,2,2,62551.0,0,0,386,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,3
3712,1959,2,2,52332.0,0,0,600,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,1
6637,1988,2,4,66951.0,0,0,42,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,3
3152,1957,2,5,26091.0,1,1,523,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0,0
5610,1965,2,5,33456.0,1,1,438,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,0
6460,1982,2,3,28718.0,1,0,274,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0,0
1349,1970,2,3,50447.0,2,0,438,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0,0
1880,1959,4,5,53537.0,1,1,629,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0,0
641,1967,2,4,52074.0,0,1,72,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0,0
8717,1975,4,3,80427.0,0,1,255,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0,3
10314,1948,4,3,83837.0,0,0,342,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1,2
10854,1970,4,3,38853.0,1,1,485,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0
10492,1959,2,5,38285.0,2,1,509,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0,0
6935,1951,0,3,78497.0,0,0,21,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,3
7698,1976,4,3,51650.0,0,1,227,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,0,0
3559,1988,0,3,16248.0,1,0,205,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,3,11,0,0
10562,1946,3,3,66835.0,0,0,602,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,0,3
10796,1984,3,3,30477.0,1,0,454,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,3,11,0,0
2563,1961,1,3,28249.0,0,0,313,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,3,11,0,0
3518,1983,2,3,25271.0,1,0,107,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,3,11,0,0
5823,1970,4,4,32303.0,0,1,157,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,3,11,0,0
3934,1966,2,3,61286.0,0,1,36,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,0,1
6982,1976,2,3,74068.0,0,0,393,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0,3
6431,1964,4,3,45759.0,1,1,478,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0
9733,1978,1,5,24882.0,1,0,188,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,3,11,0,0
5602,1989,4,5,66973.0,0,0,352,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,3,11,0,3
7829,1900,0,2,36640.0,1,0,558,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,3,11,0,0
1324,1988,2,3,38872.0,1,0,634,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,3,11,0,0
326,1973,2,3,51148.0,1,1,368,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,3,11,0,0
7224,1977,2,3,31353.0,1,1,628,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,3,11,0,0
6999,1980,3,3,69661.0,0,0,271,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,3,11,0,1
9938,1954,2,3,80067.0,0,0,405,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,3,11,0,2
6422,1954,2,3,86718.0,0,0,344,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,3,11,0,3
3182,1973,4,4,46854.0,1,1,652,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,3,11,1,1
7300,1952,2,2,69142.0,0,1,618,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,3,11,0,1
10424,1968,2,4,75922.0,0,0,195,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,3,11,0,3
8727,1978,2,2,63693.0,0,1,299,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,3,11,0,1
2798,1977,4,5,102160.0,0,0,41,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,3,11,1,2
1030,1965,4,4,40637.0,1,1,356,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,3,11,0,0
624,1984,3,4,18890.0,0,0,214,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,3,11,1,0
5176,1988,2,5,29604.0,1,0,172,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,3,11,0,0
5552,1963,3,2,48721.0,1,1,270,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,3,11,0,1
868,1966,2,3,44794.0,0,1,163,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,3,11,0,0
380,1954,2,2,64497.0,0,1,210,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,3,11,1,1
2677,1956,2,5,46097.0,0,1,651,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,3,11,0,1
6521,1954,2,5,77972.0,0,0,371,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,3,11,0,3
6927,1968,4,3,44377.0,1,1,103,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,3,11,0,1
2877,1974,3,5,46014.0,1,1,432,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,3,11,0,1
0,1985,2,3,70951.0,0,0,73,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,3,11,0,3
1584,1977,2,3,41443.0,1,0,7,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,3,11,0,1
7264,1978,0,4,52195.0,2,1,249,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,0
6274,1948,3,3,83790.0,0,0,321,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,3,11,0,2
1377,1954,3,6,44551.0,0,1,658,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,3,11,0,1
